iter	TotalF1	Logloss
0	0.8306656582	0.6398960185
1	0.8305813247	0.5951590156
2	0.8305813247	0.5575972047
3	0.8305813247	0.5260022915
4	0.8305813247	0.4994770793
5	0.8305813247	0.4772104224
6	0.8305813247	0.4585673478
7	0.8305813247	0.4428084347
8	0.8305813247	0.4295995102
9	0.8305813247	0.41839069
10	0.8305813247	0.4090659305
11	0.8305813247	0.401164056
12	0.8305813247	0.394518971
13	0.8305813247	0.38887394
14	0.8305813247	0.3841169684
15	0.8305813247	0.3800844632
16	0.8305813247	0.3766517596
17	0.8305813247	0.3737461467
18	0.8305813247	0.371275748
19	0.8305813247	0.3691735127
20	0.8305813247	0.36738152
21	0.8305813247	0.3658513012
22	0.8305813247	0.3645276729
23	0.8305813247	0.3634104613
24	0.8305813247	0.3624558131
25	0.8305813247	0.3616441262
26	0.8305813247	0.3609476804
27	0.8305813247	0.3603291164
28	0.8305813247	0.3597611442
29	0.8305813247	0.3593163641
30	0.8305813247	0.358811116
31	0.8305813247	0.3584618243
32	0.8305813247	0.3581767067
33	0.8305813247	0.3579192949
34	0.8305813247	0.3576233328
35	0.8305813247	0.3574417541
36	0.8305813247	0.3572930084
37	0.8305813247	0.3571657529
38	0.8305813247	0.3568991756
39	0.8305813247	0.35678178
40	0.8305813247	0.3566507483
41	0.8305813247	0.3565608631
42	0.8305813247	0.356500599
43	0.8305813247	0.3564497461
44	0.8305813247	0.3562986418
45	0.8305813247	0.3562599555
46	0.8305813247	0.3562236779
47	0.8305813247	0.3561809575
48	0.8305813247	0.356124392
49	0.8305813247	0.3559998753
50	0.8305813247	0.3559823926
