iter	Passed	Remaining
0	64	129707
1	77	77018
2	89	59687
3	100	50028
4	112	44715
5	122	40798
6	128	36518
7	138	34438
8	148	32797
9	156	31089
10	160	29046
11	167	27710
12	169	25925
13	176	25006
14	179	23735
15	184	22924
16	192	22493
17	195	21499
18	198	20700
19	201	19931
20	206	19417
21	213	19181
22	222	19167
23	228	18835
24	234	18498
25	238	18100
26	243	17781
27	249	17601
28	257	17526
29	265	17403
30	274	17445
31	284	17466
32	288	17218
33	297	17202
34	304	17112
35	310	16926
36	313	16647
37	317	16398
38	326	16399
39	334	16413
40	341	16318
41	346	16139
42	349	15922
43	352	15649
44	360	15666
45	364	15495
46	368	15330
47	375	15251
48	382	15247
49	389	15208
50	392	14984
